Start training...
epoch: 1/20, train_acc: 0.192, train_loss: 0.023, val_acc:0.091, val_loss: 0.025
epoch: 2/20, train_acc: 0.219, train_loss: 0.023, val_acc:0.115, val_loss: 0.025
epoch: 3/20, train_acc: 0.229, train_loss: 0.021, val_acc:0.132, val_loss: 0.025
epoch: 4/20, train_acc: 0.237, train_loss: 0.021, val_acc:0.147, val_loss: 0.025
epoch: 5/20, train_acc: 0.311, train_loss: 0.020, val_acc:0.230, val_loss: 0.023
epoch: 6/20, train_acc: 0.357, train_loss: 0.018, val_acc:0.265, val_loss: 0.023
epoch: 7/20, train_acc: 0.421, train_loss: 0.017, val_acc:0.288, val_loss: 0.023
epoch: 8/20, train_acc: 0.494, train_loss: 0.015, val_acc:0.324, val_loss: 0.021
epoch: 9/20, train_acc: 0.537, train_loss: 0.013, val_acc:0.305, val_loss: 0.025
epoch: 10/20, train_acc: 0.587, train_loss: 0.012, val_acc:0.350, val_loss: 0.025
epoch: 11/20, train_acc: 0.628, train_loss: 0.011, val_acc:0.344, val_loss: 0.024
epoch: 12/20, train_acc: 0.675, train_loss: 0.010, val_acc:0.361, val_loss: 0.026
epoch: 13/20, train_acc: 0.718, train_loss: 0.009, val_acc:0.344, val_loss: 0.028
epoch: 14/20, train_acc: 0.758, train_loss: 0.007, val_acc:0.359, val_loss: 0.031
epoch: 15/20, train_acc: 0.809, train_loss: 0.006, val_acc:0.342, val_loss: 0.034
epoch: 16/20, train_acc: 0.827, train_loss: 0.005, val_acc:0.329, val_loss: 0.041
epoch: 17/20, train_acc: 0.859, train_loss: 0.004, val_acc:0.330, val_loss: 0.044
epoch: 18/20, train_acc: 0.885, train_loss: 0.004, val_acc:0.333, val_loss: 0.044
epoch: 19/20, train_acc: 0.897, train_loss: 0.003, val_acc:0.345, val_loss: 0.043
epoch: 20/20, train_acc: 0.913, train_loss: 0.003, val_acc:0.348, val_loss: 0.053
Training is completed
model saved as: semi_model.pth
